,player_name,pitch_type,stuff_plus,count
184,Alex Faedo,CH,85,138
185,Hunter Gaddis,CH,85,125
186,Josh Fleming,CH,85,220
187,Robert Garcia,CH,85,142
188,Touki Toussaint,SP,85,301
189,Zach Davies,CH,84,371
190,Sean Manaea,CH,84,345
191,José Leclerc,CH,83,157
192,Max Fried,CH,83,215
193,Alek Manoah,CH,83,215
194,Kirby Yates,SP,82,477
195,José Butto,CH,82,168
196,Luis L. Ortiz,CH,82,202
197,Louie Varland,CH,82,123
198,Alec Marsh,CH,81,199
199,Shohei Ohtani,SP,81,135
200,José Ureña,CH,81,185
201,Brooks Raley,CH,79,147
202,Alex Wood,CH,79,498
203,Andrew Abbott,CH,79,310
204,Yu Darvish,SP,78,172
205,Brandon Pfaadt,CH,78,225
206,Cal Quantrill,CH,77,173
207,Trevor Williams,CH,77,447
208,A.J. Minter,CH,76,151
209,Freddy Peralta,CH,76,428
210,Miles Mikolas,CH,76,172
211,Shelby Miller,SP,75,176
212,Kyle Bradish,CH,75,219
213,Kyle Freeland,CH,75,293
214,Jake Diekman,CH,74,149
215,Karl Kauffmann,CH,74,117
216,Hyun Jin Ryu,CH,74,186
217,Hogan Harris,CH,73,225
218,Ryan Feltner,CH,73,113
219,Jordan Wicks,CH,72,173
220,Emilio Pagán,SP,72,130
221,Cristopher Sánchez,CH,72,489
222,Max Scherzer,CH,72,353
223,Anthony DeSclafani,CH,72,152
224,Ranger Suárez,CH,70,425
225,Luis Castillo,CH,70,498
226,Brent Suter,CH,70,318
227,Seth Martinez,CH,70,122
228,Scott McGough,SP,69,489
229,Braxton Garrett,CH,69,222
230,Sonny Gray,CH,69,190
231,Aaron Nola,CH,69,443
232,Spencer Strider,CH,69,237
233,Kyle Hendricks,CH,69,865
234,Bryce Miller,CH,68,117
235,Chris Flexen,CH,67,281
236,Dean Kremer,CH,67,361
237,Mike Clevinger,CH,66,270
238,Emmet Sheehan,CH,65,185
239,Michael Lorenzen,CH,65,515
240,Jared Shuster,CH,65,199
241,Daniel Norris,CH,65,109
242,Jaime Barria,CH,65,190
243,Jorge López,CH,64,112
244,Bryan Baker,CH,63,116
245,Gavin Stone,CH,63,187
246,Tanner Banks,CH,62,166
247,Luke Weaver,CH,62,454
248,Jordan Lyles,CH,62,306
249,Trevor Stephan,SP,61,317
250,Gerrit Cole,CH,60,232
251,Ken Waldichuk,CH,59,422
252,Carlos Hernández,SP,59,139
253,Thomas Hatch,CH,59,128
254,Ryan Weathers,CH,58,253
255,Angel Zerpa,CH,57,136
256,James Paxton,CH,55,114
257,Joe Mantiply,CH,55,159
258,Seth Lugo,CH,54,139
259,Yusei Kikuchi,CH,54,273
260,J.P. France,CH,54,352
261,Lance Lynn,CH,53,227
262,Ryan Yarbrough,CH,52,259
263,Ty Blach,CH,51,279
264,José Quintana,CH,50,224
265,Reese Olson,CH,50,263
266,Jose A. Ferrer,CH,49,147
267,Luis Medina,CH,47,170
268,Nick Ramirez,CH,47,183
269,Colin Rea,SP,40,112
270,Ben Lively,CH,38,139
271,Johan Oviedo,CH,35,123
272,Brady Singer,CH,34,164
273,Hunter Greene,CH,31,110
274,Connor Seabold,CH,27,208
275,Chris Bassitt,SP,24,104
276,Drew Smith,CH,21,101
277,Michael Kopech,CH,16,180
278,Eury Pérez,CH,8,150
279,Kyle Muller,CH,0,119
