,player_name,pitch_type,stuff_plus,count
183,Alex Cobb,SL,119,128
184,Jameson Taillon,SL,119,384
185,Patrick Sandoval,SL,119,743
186,Drew VerHagen,CT,119,130
187,Jakob Junis,SL,118,864
188,Giovanny Gallegos,SL,118,408
189,Tim Herrin,SL,118,207
190,Nick Anderson,CB,118,273
191,Nate Pearson,SL,118,175
192,Brady Singer,SL,118,1111
193,Sam Moll,SL,118,388
194,Ross Stripling,SL,117,424
195,Ryan Brasier,SL,117,331
196,Zach Eflin,SL,117,120
197,Hunter Brown,SL,117,703
198,Jimmy Cordero,SL,117,143
199,Andrew Vasquez,SL,117,698
200,Kyle Wright,CB,116,270
201,Sandy Alcantara,SL,116,547
202,Chris Stratton,SL,116,265
203,Ryan Walker,SL,116,541
204,Will Smith,SL,116,460
205,Jorge López,CB,116,212
206,Josh Winckowski,CT,116,490
207,Clayton Kershaw,SL,116,890
208,Framber Valdez,CT,116,417
209,Kyle Nelson,SL,115,551
210,George Soriano,SL,115,339
211,Dominic Leone,SL,115,265
212,Brandon Walter,CT,115,114
213,Josh Winckowski,SL,115,224
214,José Berríos,SL,115,890
215,Anthony Misiewicz,CT,115,102
216,Cody Bolton,SL,115,130
217,Luis Severino,SL,115,301
218,Andrew Saalfrank,CB,115,115
219,Roansy Contreras,SL,114,505
220,Raisel Iglesias,SL,114,139
221,Spencer Turnbull,SL,114,124
222,Caleb Thielbar,SL,114,143
223,Tanner Houck,SL,114,665
224,Julio Urías,SL,114,553
225,Austin Voth,SL,114,106
226,Jordan Hicks,SL,114,264
227,Rob Zastryzny,CB,114,107
228,Wade Miley,CT,114,828
229,Danny Coulombe,SL,114,148
230,Carlos Rodón,SL,114,326
231,Collin Snider,SL,114,133
232,Miguel Castro,SL,113,445
233,Josh Sborz,SL,113,342
234,Matt Strahm,SL,113,371
235,Max Scherzer,SL,113,430
236,José Leclerc,CT,113,187
237,Gavin Hollowell,SL,113,200
238,Yusei Kikuchi,SL,113,738
239,JoJo Romero,SL,113,125
240,Jeff Hoffman,SL,113,469
241,Jack Flaherty,SL,113,659
242,Brent Honeywell,SL,113,170
243,Caleb Ferguson,CT,112,335
244,Brandon Williamson,CB,112,123
245,Sawyer Gipson-Long,SL,112,107
246,Andrew Heaney,SL,112,674
247,Corey Kluber,CB,112,279
248,Jordan Montgomery,CB,112,791
249,Brad Keller,CB,112,171
250,Andrew Wantz,CT,112,189
251,Johan Oviedo,SL,112,1092
252,Matt Waldron,SL,112,107
253,David Peterson,SL,112,387
254,Justin Topa,SL,112,313
255,Zach Plesac,SL,112,149
256,José Urquidy,CB,112,152
257,Buck Farmer,SL,111,414
258,Colin Holderman,SL,111,276
259,Blake Snell,CB,111,626
260,MacKenzie Gore,CB,111,462
261,Shawn Armstrong,CT,111,304
262,Tyler Alexander,CT,111,239
263,Andrew Chafin,SL,111,323
264,Ryan Brasier,CT,111,128
265,Sam Bachman,SL,110,188
266,Justin Verlander,SL,110,731
267,John Schreiber,SL,110,308
268,Miles Mikolas,SL,110,774
269,Nick Wittgren,SL,110,171
270,Jhony Brito,CB,110,291
271,Austin Gomber,SL,110,433
272,Marco Gonzales,CB,110,195
273,Mike Mayers,SL,110,142
274,Edward Cabrera,SL,109,147
275,Tyler Holton,CT,109,231
276,Robert Garcia,SL,109,126
277,Carmen Mlodzinski,SL,109,135
278,Reid Detmers,SL,109,831
279,Touki Toussaint,CB,109,459
280,Joel Payamps,SL,109,490
281,Michael Lorenzen,SL,108,713
282,Dustin May,CT,108,111
283,Tanner Banks,CB,108,155
284,Taj Bradley,CT,108,448
285,Yonny Chirinos,SL,108,346
286,Jake Cousins,SL,108,110
287,Hayden Wesneski,CT,108,148
288,Enyel De Los Santos,SL,107,318
289,Colin Rea,CB,107,155
290,Josh Sborz,CB,107,261
291,Alex Cobb,CB,107,405
292,Luis Severino,CT,107,245
293,Louie Varland,SL,107,143
294,Kutter Crawford,CB,107,250
295,Jordan Lyles,CT,107,215
296,Jameson Taillon,CT,107,561
297,Zach Eflin,CT,107,692
298,Jason Foley,SL,107,182
299,Hyun Jin Ryu,CB,107,141
300,Matt Manning,CB,107,201
301,Carlos Carrasco,SL,107,289
302,Josh Hader,SL,107,242
303,Osvaldo Bido,SL,106,332
304,Anthony Bass,SL,106,180
305,Jeff Brigham,SL,106,287
306,Mauricio Llovera,SL,106,211
307,Michael King,SL,106,493
308,Jake Bird,CB,106,277
309,Mitch Keller,CT,106,756
310,Taylor Clarke,SL,106,594
311,Drew VerHagen,SL,106,323
312,Shintaro Fujinami,CT,106,224
313,Dany Jiménez,SL,106,253
314,Gerrit Cole,SL,106,681
315,Scott Barlow,CB,106,400
316,Ryne Stanek,SL,106,161
317,Matt Brash,CB,105,113
318,Zac Gallen,SL,105,149
319,Graham Ashcraft,CT,105,1226
320,Clarke Schmidt,CT,105,761
321,Freddy Peralta,SL,105,639
322,Calvin Faucher,CT,105,157
323,Bryce Miller,SL,105,573
324,Gabe Speier,SL,105,248
325,Seth Lugo,SL,105,308
326,Nick Pivetta,SL,105,393
327,Dylan Covey,CT,105,196
328,Brad Boxberger,SL,105,109
329,Keegan Thompson,CT,105,129
330,Derek Law,SL,105,164
331,Yennier Cano,SL,105,142
332,Xzavion Curry,SL,105,539
333,Logan Gilbert,CB,105,392
334,Jonathan Hernández,SL,105,242
335,Seth Martinez,SL,104,205
336,Matthew Liberatore,CB,104,237
337,Michael Rucker,CT,104,191
338,Hunter Harvey,SL,104,134
339,Kutter Crawford,SL,104,270
340,Ian Gibaut,CT,104,329
341,Rich Hill,CB,104,909
342,Domingo Germán,CB,104,674
343,Ty Adcock,SL,104,114
344,Jesse Scholtens,CB,104,239
345,Jameson Taillon,CB,104,379
346,Zac Gallen,CB,104,833
347,Mason Englert,SL,104,346
348,Jordan Weems,SL,104,398
349,Zack Greinke,CB,104,312
350,Brad Keller,SL,104,232
351,Bryan Shaw,SL,104,156
352,Jackson Kowar,SL,104,148
353,Chase Anderson,CT,104,381
354,Quinn Priester,SL,104,201
355,Ryne Nelson,SL,104,293
356,Chad Kuhl,SL,103,335
357,David Robertson,SL,103,216
358,Mason Thompson,SL,103,254
359,Paul Blackburn,CT,103,382
360,Max Fried,SL,103,210
361,Lucas Erceg,SL,103,163
362,Cooper Criswell,SL,102,154
363,Tommy Henry,SL,102,177
364,Derek Law,CT,102,351
365,Shohei Ohtani,CT,102,329
366,Mitch White,SL,102,128
367,Ross Stripling,CB,102,144
368,Jack Flaherty,CT,102,238
369,Angel Zerpa,SL,102,169
370,Shane Bieber,SL,102,401
371,Michael Rucker,SL,101,124
372,Tristan Beck,SL,101,711
373,Jon Gray,SL,101,974
374,Brayan Bello,SL,101,461
375,Kodai Senga,CT,101,690
376,Aaron Bummer,CT,101,115
377,Cristopher Sánchez,SL,101,313
378,Dylan Covey,SL,101,191
379,Chase Silseth,SL,101,204
380,Tyler Holton,SL,101,171
381,Matt Barnes,CB,101,194
382,Carlos Estévez,SL,101,298
383,Peter Lambert,SL,101,466
384,Tarik Skubal,SL,101,251
385,Hunter Brown,CB,101,668
386,Shane Bieber,CB,100,268
387,Chris Martin,CT,100,249
388,Tanner Banks,SL,100,302
389,Josh Winder,SL,100,197
390,Hunter Greene,SL,100,841
391,Bryse Wilson,CB,100,154
392,Yunior Marte,SL,100,308
393,Glenn Otto,SL,100,103
394,Joey Wentz,CB,100,304
395,Kyle Muller,SL,100,366
396,Yimi García,CB,100,375
397,Colin Selby,SL,100,159
398,Corbin Burnes,CB,100,546
399,Richard Lovelady,SL,100,176
400,Tylor Megill,SL,100,459
401,Bryan Woo,SL,99,128
402,Gregory Soto,SL,99,400
403,Louie Varland,CT,99,353
404,Bailey Ober,CB,99,157
405,Noah Syndergaard,CT,99,176
406,Dakota Hudson,SL,99,423
407,Colin Rea,SL,99,223
408,Kendall Graveman,SL,99,297
409,Joey Wentz,CT,99,484
410,Nick Martinez,CT,99,289
411,Alex Faedo,SL,98,392
412,Bryan Woo,CT,98,218
413,Zack Greinke,CT,98,155
414,Tommy Henry,CB,97,264
415,Braxton Garrett,SL,97,657
416,Luke Weaver,SL,97,332
417,Keegan Akin,SL,97,113
418,José Suarez,SL,97,151
419,Jason Adam,SL,97,284
420,Zack Littell,SL,97,537
421,Javier Assad,CT,97,468
422,Jay Jackson,SL,97,265
423,Jesse Scholtens,SL,97,525
424,Zack Wheeler,CT,97,474
425,Mike Clevinger,CT,97,171
426,Tony Gonsolin,CB,97,251
427,Logan Allen,CT,97,185
428,Carlos Hernández,CB,96,116
429,Alex Vesia,SL,96,268
430,JP Sears,SL,96,991
431,Luis Cessa,SL,96,174
432,Erasmo Ramírez,CT,96,416
433,Matthew Liberatore,SL,96,135
434,Will Vest,SL,96,258
435,Adam Wainwright,CT,96,401
436,Rich Hill,CT,95,372
437,Brock Burke,SL,95,171
438,Tyler Glasnow,CB,95,424
439,Cole Irvin,CT,95,202
440,Beau Brieske,SL,95,102
441,Shelby Miller,SL,95,114
442,Justin Verlander,CB,95,567
443,Drew Smith,SL,95,226
444,Evan Phillips,CT,95,224
445,Jordan Lyles,SL,95,693
446,Michael Fulmer,SL,94,291
447,Grant Hartwig,SL,94,200
448,Ryan Borucki,SL,94,358
449,Reynaldo López,SL,94,353
450,Griffin Canning,CB,94,279
451,Carlos Carrasco,CB,94,145
452,Yu Darvish,CT,94,202
453,Logan Allen,SL,93,531
454,Noah Syndergaard,CB,93,197
455,Alex Wood,SL,93,446
456,Dylan Cease,SL,93,1257
457,José Alvarado,CT,93,342
458,Josiah Gray,CB,93,456
459,Casey Lawrence,SL,93,165
460,Alec Marsh,CB,93,201
461,Daniel Duarte,CT,93,113
462,Nate Pearson,CB,92,105
463,Matthew Boyd,SL,92,333
464,Lance Lynn,SL,92,200
465,Michael Kopech,SL,92,657
466,Anthony DeSclafani,SL,92,691
467,Chris Bassitt,SL,92,427
468,Dylan Lee,SL,92,185
469,Brusdar Graterol,CT,92,206
470,Jose Cuas,SL,92,312
471,Kenta Maeda,SL,92,536
472,Chris Murphy,CB,92,159
473,Chris Bassitt,CB,91,394
474,Yu Darvish,CB,91,259
475,John Brebbia,SL,91,364
476,Luis Patiño,SL,91,111
477,Nick Sandlin,SL,91,499
478,Pedro Avila,CB,90,187
479,Austin Gomber,CB,90,360
480,Daniel Bard,SL,90,454
481,Nestor Cortes,CT,90,307
482,Luke Weaver,CB,90,242
483,Ranger Suárez,CB,90,440
484,Victor González,SL,90,152
485,Bowden Francis,CB,90,183
486,Cooper Criswell,CT,90,138
487,Trey Wingenter,SL,90,153
488,José Cisnero,CT,90,135
489,Bailey Falter,CB,90,292
490,Sam Long,CB,90,237
491,Chris Sale,SL,90,627
492,Cory Abbott,CB,89,332
493,Angel Perdomo,SL,89,152
494,Fernando Cruz,CT,89,267
495,Joe La Sorsa,SL,89,243
496,Erik Swanson,SL,89,193
497,Ryne Nelson,CB,89,127
498,Connor Seabold,SL,89,475
499,Ryan Weathers,SL,89,218
500,Jake Irvin,CB,89,655
501,Taylor Rogers,SL,89,470
502,Daniel Palencia,SL,89,143
503,James Kaprielian,SL,89,335
504,Jake Woodford,SL,89,210
505,Hoby Milner,CB,89,349
506,Emilio Pagán,CT,89,321
507,Jake Bird,CT,89,198
508,Luis Frías,CT,89,282
509,Thomas Hatch,CT,89,166
510,Collin McHugh,SL,89,486
511,Freddy Peralta,CB,88,359
512,Max Scherzer,CB,88,329
513,Dinelson Lamet,SL,88,277
514,Michael Grove,CB,88,198
515,Wandy Peralta,SL,88,114
516,Michael Wacha,CT,88,275
517,Alex Young,CB,88,214
518,Tyler Kinley,SL,88,180
519,Josiah Gray,SL,88,849
520,Gavin Williams,SL,88,303
521,Alexis Díaz,SL,88,598
522,Vince Velasquez,SL,87,290
523,Tom Cosgrove,SL,87,437
524,Andrés Machado,SL,87,102
525,Josh Fleming,CB,87,168
526,Phil Bickford,SL,87,330
527,Allan Winans,SL,87,131
528,Aaron Loup,CT,87,186
529,Yerry Rodríguez,SL,87,102
530,Scott McGough,SL,87,113
531,Reese Olson,SL,87,531
532,Zach Eflin,CB,86,692
533,Ranger Suárez,CT,86,282
534,Braxton Garrett,CT,86,444
535,Clayton Kershaw,CB,86,356
536,J.P. France,CB,86,314
537,Lucas Giolito,SL,86,900
538,Jesse Chavez,CT,86,294
539,Grayson Rodriguez,CB,86,172
540,Colin Poche,SL,86,333
541,Tanner Bibee,CB,86,215
542,José Urquidy,SL,86,226
543,Andrew Abbott,CB,86,324
544,Joe Jiménez,SL,85,291
545,Hunter Gaddis,SL,85,217
546,Eduardo Rodriguez,SL,85,170
547,Kutter Crawford,CT,85,594
548,Brandon Bielak,SL,85,164
549,Tyler Mahle,SL,85,110
550,Zack Greinke,SL,85,443
551,Quinn Priester,CB,85,114
552,Gerrit Cole,CT,84,230
553,Dean Kremer,CT,84,710
554,Shintaro Fujinami,SL,84,103
555,Andre Jackson,SL,84,170
556,Steven Matz,CB,84,274
557,Nick Pivetta,CB,84,587
558,Max Scherzer,CT,84,265
559,Dylan Cease,CB,84,493
560,MacKenzie Gore,SL,84,462
561,Julio Teheran,CT,84,309
562,Taylor Hearn,SL,84,125
563,Grayson Rodriguez,SL,83,299
564,Dane Dunning,SL,83,665
565,Spencer Strider,SL,83,1107
566,Xzavion Curry,CB,83,174
567,Michael Soroka,SL,83,143
568,Brad Hand,SL,83,500
569,Justin Bruihl,SL,83,137
570,Colin Holderman,CT,83,187
571,David Peterson,CB,83,173
572,Tyler Wells,CB,83,150
573,Jimmy Lambert,CB,83,107
574,Madison Bumgarner,CT,83,122
575,Jack Flaherty,CB,83,524
576,Mike Baumann,SL,83,223
577,Trevor Gott,CT,82,381
578,Roansy Contreras,CB,82,133
579,Jaime Barria,SL,82,682
580,Amos Willingham,SL,82,161
581,Kyle Freeland,SL,82,570
582,Bryan Shaw,CT,82,392
583,Mike Clevinger,SL,82,572
584,Brandon Hughes,SL,82,132
585,Drey Jameson,SL,82,176
586,Aaron Nola,CT,81,243
587,Nick Martinez,CB,81,337
588,Brennan Bernardino,CB,81,369
589,Mason Miller,SL,81,145
590,Penn Murfee,SL,81,140
591,Kenley Jansen,CT,81,567
592,Andrew Bellatti,SL,81,214
593,Sean Newcomb,CB,81,105
594,Jake Diekman,SL,81,182
595,Alec Marsh,SL,81,345
596,Bryan Shaw,CB,81,108
597,Kodai Senga,SL,81,328
598,Nestor Cortes,SL,81,169
599,Shane Bieber,CT,80,524
600,Trevor Williams,CB,80,182
601,Adam Oller,SL,80,155
602,Zack Thompson,CT,80,199
603,Drew Rucinski,SL,80,105
604,Bryan Hoeing,SL,80,361
605,Tristan Beck,CB,80,103
606,Merrill Kelly,SL,80,185
607,Colin Rea,CT,80,532
608,Josh Taylor,SL,80,144
609,Dallas Keuchel,CT,80,167
610,Ken Waldichuk,SL,80,689
611,Max Castillo,SL,80,108
612,Paul Blackburn,SL,80,339
613,Cody Bradford,SL,79,155
614,José Butto,SL,79,113
615,Paul Blackburn,CB,79,219
616,Kyle Freeland,CB,79,424
617,Tyler Anderson,CT,79,544
618,Taijuan Walker,CT,79,494
619,Keynan Middleton,SL,79,263
620,Carlos Hernández,SL,78,295
621,Dylan Coleman,CT,78,102
622,Sammy Peralta,SL,78,102
623,Adrian Houser,CB,78,158
624,Braxton Garrett,CB,78,206
625,Adrian Houser,SL,78,307
626,Yohan Ramirez,SL,78,186
627,Charlie Morton,CT,78,225
628,Jared Shuster,SL,78,284
629,Taj Bradley,CB,77,303
630,Grayson Rodriguez,CT,77,121
631,Tyler Gilbert,CT,77,122
632,Joan Adon,CB,77,189
633,Tony Gonsolin,SL,77,303
634,Collin McHugh,CT,76,466
635,Corey Kluber,CT,76,271
636,Bryse Wilson,CT,76,402
637,Emmet Sheehan,SL,76,253
638,Sean Hjelle,CB,76,222
639,Adam Ottavino,SL,76,285
640,Ian Hamilton,SL,75,531
641,Lucas Luetge,SL,75,101
642,Matt Koch,CT,75,275
643,Tyler Rogers,SL,75,548
644,Austin Voth,CB,75,191
645,Lance Lynn,CT,74,749
646,Kyle Gibson,CB,74,257
647,Cal Quantrill,CT,74,411
648,Yimi García,SL,74,116
649,Eduardo Rodriguez,CT,74,457
650,Eric Lauer,CB,74,105
651,Slade Cecconi,SL,74,119
652,Anthony Kay,SL,74,101
653,Thaddeus Ward,CT,74,136
654,Mitch Keller,CB,74,249
655,Mark Leiter Jr.,CT,74,218
656,Grant Hartwig,CT,74,101
657,Adam Ottavino,CT,74,154
658,Cristian Javier,SL,74,924
659,J.P. France,SL,74,205
660,Génesis Cabrera,CB,74,128
661,Cole Ragans,CT,73,211
662,Tommy Hunter,CT,73,115
663,Luke Weaver,CT,73,246
664,Ryan Yarbrough,CB,73,371
665,Ryan Yarbrough,CT,73,352
666,Jorge Alcala,SL,72,133
667,Merrill Kelly,CT,72,600
668,Jesús Luzardo,SL,72,896
669,Javy Guerra,SL,72,115
670,Zach Neal,CT,72,147
671,Justin Bruihl,CT,72,162
672,Joe Mantiply,CB,72,181
673,Scott Alexander,SL,71,111
674,Peyton Battenfield,CT,71,225
675,David Robertson,CT,71,586
676,Kyle Gibson,CT,71,505
677,José Quintana,CB,71,252
678,Miles Mikolas,CB,71,637
679,Dylan Floro,SL,70,213
680,Darius Vines,CT,70,102
681,Chris Murphy,SL,70,317
682,Chris Bassitt,CT,70,478
683,Kyle Muller,CB,70,216
684,Luis Medina,SL,70,461
685,Bailey Falter,SL,70,246
686,Johan Oviedo,CB,70,444
687,Cole Irvin,CB,69,182
688,Luis Garcia,CT,68,201
689,Hogan Harris,CB,68,154
690,Ronel Blanco,SL,68,439
691,Johnny Cueto,SL,68,202
692,Eury Pérez,SL,68,472
693,Daniel Lynch IV,SL,68,152
694,James Paxton,CT,68,282
695,Noah Davis,CT,68,102
696,Dane Dunning,CT,68,553
697,Huascar Brazoban,CT,68,337
698,Jon Gray,CB,68,148
699,Ben Lively,SL,67,325
700,Connor Brogdon,CT,67,133
701,Tyler Wells,SL,67,320
702,Zac Gallen,CT,67,390
703,John Curtiss,SL,67,128
704,Bryce Jarvis,SL,67,115
705,Cristian Javier,CB,67,223
706,Tylor Megill,CB,67,191
707,Jimmy Herget,CB,67,195
708,Ryan Thompson,SL,66,187
709,Nathan Eovaldi,CT,66,473
710,Amir Garrett,SL,65,211
711,Chase Anderson,SL,65,119
712,Hogan Harris,CT,65,210
713,Jordan Lyles,CB,64,371
714,Hyun Jin Ryu,CT,64,156
715,Alek Manoah,SL,64,507
716,Génesis Cabrera,CT,64,308
717,Kyle Gibson,SL,64,569
718,Lance Lynn,CB,64,231
719,Drew Smyly,CB,64,1181
720,Richard Bleier,CT,63,178
721,Patrick Corbin,SL,63,1021
722,Ray Kerr,CB,63,185
723,Lane Ramsey,SL,63,173
724,Chad Smith,SL,63,103
725,Taijuan Walker,CB,63,162
726,José Leclerc,SL,62,366
727,Trevor Williams,SL,62,475
728,Nick Ramirez,SL,61,188
729,Adrián Martínez,SL,61,164
730,Ryan Tepera,SL,61,117
731,David Bednar,CB,61,280
732,Sean Manaea,SL,60,516
733,Joe Jacques,SL,60,152
734,Reese Olson,CB,60,101
735,Dominic Leone,CT,60,279
736,Dylan Coleman,SL,60,136
737,Dylan Dodd,SL,59,162
738,Tanner Houck,CT,59,186
739,Dane Dunning,CB,59,134
740,Dean Kremer,CB,58,266
741,Michael Wacha,CB,58,245
742,Luis Medina,CB,57,228
743,Kyle Harrison,SL,57,165
744,Eric Lauer,CT,57,300
745,Grant Anderson,SL,57,299
746,Randy Vásquez,CT,56,111
747,Brooks Raley,CT,56,226
748,Nathan Eovaldi,CB,56,382
749,Seranthony Domínguez,SL,55,248
750,Tommy Doyle,CT,55,170
751,Javier Assad,SL,55,226
752,Drew Rom,SL,55,159
753,Ty Blach,CT,55,208
754,Albert Abreu,SL,54,293
755,Bailey Ober,SL,54,466
756,Julio Teheran,CB,54,124
757,Kevin Gausman,SL,53,339
758,James Paxton,CB,53,325
759,Kevin Kelly,SL,52,435
760,Rich Hill,SL,52,223
761,Josiah Gray,CT,52,499
762,Justin Topa,CT,52,194
763,Brandon Bielak,CB,51,155
764,Joe Ryan,SL,51,428
765,Joey Lucchesi,CB,48,172
766,Brent Suter,SL,46,122
767,Eury Pérez,CB,45,214
768,Martín Pérez,CT,44,497
769,Trevor Kelley,SL,44,125
770,Gavin Williams,CB,44,235
771,Luis García,SL,41,348
