,player_name,pitch_type,stuff_plus,count
158,Cristian Javier,FF,110,1797
496,Pablo López,SI,110,352
277,Jake Irvin,SI,110,620
255,Hunter Brown,FF,110,1313
253,Huascar Brazoban,FF,110,178
239,Gregory Santos,SI,110,458
111,Camilo Doval,SI,110,341
351,Josiah Gray,SI,110,482
283,James Karinchak,FF,110,410
473,Miles Mikolas,SI,109,777
444,Matt Moore,FF,109,398
642,Yusei Kikuchi,FF,109,1273
375,Justin Steele,FF,109,1672
75,Brandon Pfaadt,FF,109,830
132,Chris Sale,FF,109,719
79,Brandon Woodruff,SI,108,228
641,Yunior Marte,SI,108,343
640,Yu Darvish,SI,108,412
637,Yohan Ramirez,SI,108,501
213,Erasmo Ramírez,SI,108,280
208,Eli Morgan,FF,108,479
536,Ryan Brasier,FF,107,333
225,Garrett Whitlock,SI,107,622
156,Cory Abbott,FF,107,323
597,Tom Cosgrove,FF,107,203
265,J.P. France,FF,107,961
530,Robert Garcia,FF,107,254
463,Michael Lorenzen,SI,107,285
380,Keaton Winn,FF,107,157
211,Emmet Sheehan,FF,107,664
131,Chris Murphy,FF,107,335
340,Jorge López,SI,106,327
459,Michael King,FF,106,381
631,Xzavion Curry,FF,106,722
633,Yennier Cano,SI,106,573
475,Mitch Keller,SI,106,706
343,Jose Cuas,SI,105,585
522,Ray Kerr,FF,105,217
145,Colin Holderman,SI,105,466
180,Devin Williams,FF,105,390
457,Michael Fulmer,FF,105,272
610,Trevor Williams,FF,105,1132
185,Dominic Leone,FF,105,333
29,Alex Young,SI,104,320
188,Drew Rom,FF,104,295
403,Kyle Harrison,FF,104,357
15,Adbert Alzolay,FF,104,200
231,George Kirby,SI,104,607
371,Julio Teheran,SI,104,416
468,Michael Wacha,SI,104,296
569,Shohei Ohtani,FF,104,683
342,Jose Cuas,FF,103,229
326,Johnny Cueto,SI,103,169
176,Dean Kremer,FF,103,1109
137,Clay Holmes,SI,103,706
433,Marcus Stroman,SI,103,1016
363,José Soriano,FF,103,172
450,Matthew Liberatore,SI,103,193
237,Grant Hartwig,SI,103,297
12,Adam Ottavino,SI,103,385
357,José Cisnero,SI,102,211
189,Drew Rom,SI,102,161
382,Keegan Thompson,FF,102,225
59,Bailey Ober,FF,102,1100
20,Albert Abreu,SI,102,564
618,Tyler Anderson,FF,102,907
150,Connor Brogdon,FF,102,177
554,Scott Barlow,FF,102,254
347,Josh Sborz,FF,102,350
190,Drew Smith,FF,101,662
28,Alex Wood,SI,101,762
51,Anthony DeSclafani,SI,101,431
24,Alex Cobb,SI,101,991
182,Domingo Germán,FF,100,458
574,Spencer Turnbull,FF,100,224
548,Sam Long,FF,100,384
443,Matt Manning,FF,100,563
9,Abner Uribe,SI,100,334
456,Merrill Kelly,SI,99,392
278,Jake Woodford,SI,99,456
85,Brennan Bernardino,SI,99,483
339,Jorge López,FF,99,158
617,Tyler Alexander,FF,99,189
25,Alex Faedo,FF,98,501
38,Andrew Chafin,SI,98,402
462,Michael Lorenzen,FF,98,831
184,Domingo Tapia,FF,98,153
134,Cionel Pérez,FF,97,238
142,Cole Irvin,SI,97,259
148,Colin Rea,SI,97,602
226,Gavin Hollowell,FF,97,209
508,Peter Strzelecki,FF,97,237
248,Hector Neris,FF,97,623
353,José Berríos,FF,97,606
373,Justin Garza,SI,97,161
356,José Cisnero,FF,96,361
177,Dean Kremer,SI,96,429
297,Jesse Chavez,SI,96,171
133,Chris Stratton,FF,96,781
270,Jackson Rutledge,FF,96,157
361,José Ruiz,FF,96,257
54,Austin Cox,FF,96,280
212,Enyel De Los Santos,FF,96,633
438,Mason Thompson,SI,96,509
525,Reid Detmers,FF,96,1121
317,Joey Lucchesi,SI,96,360
519,Randy Vásquez,FF,96,173
362,José Ruiz,SI,95,166
81,Braxton Garrett,SI,95,800
367,José Ureña,SI,95,224
486,Nick Robertson,FF,95,209
141,Cole Irvin,FF,95,359
555,Scott McGough,FF,95,628
580,Taijuan Walker,SI,94,663
374,Justin Lawrence,SI,94,605
365,José Suarez,FF,94,245
474,Mitch Keller,FF,94,813
557,Sean Manaea,FF,94,1157
39,Andrew Heaney,FF,94,1555
609,Trevor Stephan,FF,94,538
151,Connor Phillips,FF,94,240
419,Lucas Sims,FF,93,460
593,Tim Herrin,FF,93,213
74,Brandon Bielak,SI,93,300
425,Luis L. Ortiz,SI,93,413
591,Taylor Rogers,SI,93,346
209,Elvis Peguero,SI,93,459
582,Tanner Banks,FF,93,356
565,Shawn Armstrong,FF,93,170
112,Carl Edwards Jr.,FF,93,357
485,Nick Ramirez,SI,93,268
434,Mark Leiter Jr.,SI,92,297
149,Colin Selby,SI,92,202
330,Jordan Balazovic,FF,92,186
560,Seth Lugo,FF,92,754
616,Ty Blach,SI,92,695
354,José Berríos,SI,92,931
199,Dylan Covey,SI,92,304
465,Michael Soroka,FF,91,173
408,Kyle Wright,SI,91,169
568,Shintaro Fujinami,FF,91,789
518,Raisel Iglesias,SI,91,158
547,Sam Hentges,FF,91,306
268,Jack Flaherty,FF,91,1116
282,James Kaprielian,SI,91,152
524,Reese Olson,SI,90,344
543,Ryan Weathers,FF,90,602
355,José Butto,FF,90,373
397,Kyle Bradish,SI,90,563
542,Ryan Walker,SI,90,534
167,Daniel Duarte,SI,90,160
57,Austin Voth,FF,89,291
393,Kirby Yates,FF,89,586
118,Carmen Mlodzinski,FF,89,307
315,Joel Payamps,FF,88,253
626,Vince Velasquez,FF,88,270
429,Luke Weaver,FF,88,978
32,Amos Willingham,FF,88,280
383,Ken Waldichuk,FF,88,1385
615,Tucker Davidson,FF,88,297
62,Ben Lively,FF,87,445
578,Steven Wilson,FF,87,341
359,José Quintana,FF,87,301
458,Michael Grove,FF,87,438
603,Trent Thornton,FF,87,154
602,Touki Toussaint,SI,87,422
427,Luis Medina,SI,87,276
88,Brent Suter,FF,87,344
294,Jeff Brigham,FF,87,265
608,Trevor Richards,FF,87,587
287,Jameson Taillon,SI,87,267
389,Kevin Ginkel,FF,87,581
426,Luis Medina,FF,87,807
144,Cole Sands,FF,86,157
606,Trevor May,FF,86,327
505,Pedro Avila,SI,86,186
164,Dane Dunning,SI,86,937
523,Reese Olson,FF,86,497
68,Brad Boxberger,FF,86,184
327,Jon Gray,FF,86,1033
261,Ian Hamilton,FF,86,219
392,Keynan Middleton,FF,86,225
256,Hunter Gaddis,FF,85,273
394,Kodai Senga,FF,85,1036
262,Ian Hamilton,SI,85,229
222,Gabe Speier,FF,84,162
5,Aaron Civale,SI,84,373
23,Alek Manoah,SI,83,476
43,Andrés Machado,FF,83,228
36,Andrew Bellatti,FF,83,215
252,Hogan Harris,FF,83,518
563,Shane Bieber,FF,82,687
481,Nick Martinez,FF,81,229
386,Kenny Rosenberg,FF,81,234
464,Michael Rucker,FF,81,285
121,Charlie Morton,FF,81,894
634,Yerry De Los Santos,SI,81,241
337,Jordan Weems,FF,81,443
539,Ryan Pepiot,FF,81,330
332,Jordan Lyles,FF,81,857
147,Colin Rea,FF,81,388
33,Andre Jackson,FF,80,444
97,Bryan Hoeing,SI,80,579
531,Robert Stephenson,FF,80,180
42,Andrew Wantz,FF,80,256
18,Adrian Houser,SI,80,875
139,Cody Bolton,FF,80,249
292,Javier Assad,SI,79,526
105,Bryse Wilson,FF,79,188
106,Bryse Wilson,SI,79,406
455,Merrill Kelly,FF,78,923
41,Andrew Suárez,FF,78,237
369,Jovani Moran,FF,78,342
153,Cooper Criswell,SI,78,187
194,Drey Jameson,FF,78,183
140,Cody Bradford,FF,78,586
435,Martín Pérez,SI,78,996
328,Jonathan Hernández,SI,78,257
645,Zach Davies,SI,77,486
84,Brendan White,FF,77,214
273,Jaime Barria,FF,77,412
104,Bryce Miller,SI,77,160
284,James Naile,SI,77,170
417,Lucas Erceg,SI,77,329
528,Richard Bleier,SI,77,191
583,Tanner Bibee,FF,76,1095
303,Jimmy Cordero,SI,76,357
204,Eduardo Rodriguez,FF,76,1076
264,Isaiah Campbell,FF,76,222
436,Mason Englert,FF,76,289
122,Charlie Morton,SI,75,198
2,AJ Smith-Shawver,FF,75,275
201,Dylan Floro,FF,75,328
46,Andrés Muñoz,SI,75,159
390,Kevin Herget,FF,75,183
155,Corey Kluber,SI,75,259
318,Joey Wentz,FF,75,803
490,Noah Davis,SI,74,303
534,Ronel Blanco,FF,74,364
513,Quinn Priester,FF,74,169
651,Zack Littell,FF,74,427
35,Andrew Abbott,FF,74,948
431,Marco Gonzales,FF,74,299
418,Lucas Giolito,FF,74,1337
406,Kyle Muller,FF,73,751
479,Nick Anderson,FF,73,265
590,Taylor Hearn,FF,73,151
517,Raisel Iglesias,FF,73,284
247,Hayden Wesneski,SI,73,276
649,Zack Greinke,FF,73,587
584,Tanner Houck,FF,73,171
206,Edward Cabrera,FF,73,498
477,Nathan Eovaldi,FF,72,994
424,Luis L. Ortiz,FF,72,363
575,Stephen Nogosek,FF,72,306
511,Phil Maton,FF,71,370
279,Jakob Junis,SI,71,368
514,Quinn Priester,SI,71,290
126,Chris Bassitt,FF,71,293
179,Derek Law,FF,71,181
192,Drew VerHagen,FF,71,290
472,Miles Mikolas,FF,71,829
333,Jordan Lyles,SI,70,370
166,Daniel Duarte,FF,70,154
218,Fernando Cruz,FF,69,393
467,Michael Wacha,FF,69,637
613,Tristan Beck,FF,69,476
599,Tommy Henry,FF,68,681
152,Connor Seabold,FF,68,849
48,Angel Zerpa,FF,68,232
385,Kendall Graveman,SI,68,437
387,Kenta Maeda,FF,67,484
650,Zack Greinke,SI,67,346
350,Josiah Gray,FF,67,479
82,Brayan Bello,FF,67,539
304,Jimmy Lambert,FF,67,295
178,Deivi García,FF,66,162
604,Trevor Gott,FF,66,214
207,Edward Cabrera,SI,66,171
416,Lucas Erceg,FF,66,288
34,Andre Pallante,FF,65,753
19,Adrián Martínez,SI,65,558
535,Ross Stripling,FF,65,376
402,Kyle Gibson,SI,65,800
22,Alek Manoah,FF,65,490
576,Steven Matz,SI,65,1044
246,Hayden Wesneski,FF,64,438
214,Eric Lauer,FF,64,365
624,Tylor Megill,FF,64,1243
589,Taylor Clarke,FF,64,310
191,Drew Smyly,SI,64,932
286,Jameson Taillon,FF,63,856
319,Johan Oviedo,FF,63,1167
529,Roansy Contreras,FF,63,458
269,Jackson Kowar,FF,63,216
298,Jesse Scholtens,FF,63,628
102,Bryce Jarvis,FF,62,194
509,Peyton Battenfield,FF,62,246
620,Tyler Holton,FF,62,334
493,Osvaldo Bido,FF,62,263
114,Carlos Carrasco,SI,61,164
108,Cal Quantrill,SI,61,704
344,Jose Hernandez,FF,61,285
124,Chase Silseth,FF,60,308
407,Kyle Nelson,FF,59,295
648,Zach Jackson,FF,59,218
449,Matthew Liberatore,FF,59,406
644,Zach Davies,FF,59,336
100,Bryce Elder,FF,59,380
293,Jay Jackson,FF,58,165
600,Tony Gonsolin,FF,58,656
234,Giovanny Gallegos,FF,58,443
56,Austin Pruitt,FF,58,208
280,Jalen Beeks,FF,58,317
494,Osvaldo Bido,SI,58,220
291,Javier Assad,FF,57,327
174,David Peterson,FF,57,535
612,Trey Wingenter,FF,57,155
422,Luis Frías,FF,57,233
276,Jake Irvin,FF,57,765
313,Joe Musgrove,FF,57,380
21,Alec Marsh,FF,57,500
480,Nick Lodolo,FF,57,300
162,Dakota Hudson,SI,56,501
